test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.000;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.010;
1112000;7.443;3.951;1.884;2.189;3.400;1.617;4.603;1.373;5.421;1.349;5.517;1.083;6.873;1.052;7.075;0.943;7.893;0.012;
2223000;15.007;7.923;1.894;4.404;3.408;3.447;4.354;2.969;5.055;2.534;5.922;2.308;6.502;2.317;6.477;2.002;7.496;0.010;
3334000;22.597;11.744;1.924;6.676;3.385;5.207;4.340;4.520;4.999;3.883;5.819;3.822;5.912;3.594;6.287;3.114;7.257;0.012;
4445000;29.973;15.147;1.979;8.780;3.414;6.706;4.470;5.582;5.370;5.088;5.891;4.765;6.290;4.563;6.569;3.993;7.506;0.010;
5556000;37.019;19.202;1.928;10.933;3.386;8.438;4.387;7.038;5.260;6.199;5.972;5.967;6.204;5.862;6.315;5.004;7.398;0.011;
6667000;44.788;23.796;1.882;14.932;2.999;11.997;3.733;9.366;4.782;8.280;5.409;7.734;5.791;7.263;6.167;6.620;6.766;0.011;
7778000;58.494;31.179;1.876;17.355;3.370;12.400;4.717;10.420;5.614;9.125;6.410;8.642;6.769;8.380;6.980;7.279;8.036;0.011;
8889000;59.598;31.160;1.913;17.854;3.338;13.666;4.361;11.650;5.116;10.315;5.778;9.771;6.099;9.328;6.389;8.294;7.186;0.012;
10000000;67.448;34.645;1.947;20.256;3.330;15.465;4.361;12.975;5.198;11.990;5.625;11.257;5.992;10.600;6.363;9.695;6.957;0.012;
