test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.000;0.000;nan;0.000;nan;0.004;0.000;0.000;nan;0.011;0.000;0.000;nan;0.000;nan;0.016;0.000;0.103;
1112000;7.404;3.972;1.864;2.194;3.375;1.704;4.345;1.364;5.428;1.198;6.180;1.138;6.506;1.078;6.868;0.975;7.594;0.101;
2223000;15.053;8.034;1.874;4.373;3.442;3.363;4.476;2.841;5.298;2.477;6.077;2.304;6.533;2.216;6.793;1.989;7.568;0.099;
3334000;22.765;12.047;1.890;6.647;3.425;5.216;4.364;4.363;5.218;3.857;5.902;3.654;6.230;3.397;6.702;3.114;7.311;0.102;
4445000;30.409;15.779;1.927;8.670;3.507;6.720;4.525;5.684;5.350;5.100;5.963;4.663;6.521;4.403;6.906;4.007;7.589;0.101;
5556000;37.212;19.460;1.912;11.006;3.381;8.446;4.406;6.937;5.364;6.267;5.938;5.891;6.317;5.506;6.758;5.032;7.395;0.095;
6667000;44.510;23.459;1.897;12.989;3.427;9.944;4.476;8.518;5.225;7.400;6.015;7.109;6.261;6.612;6.732;6.070;7.333;0.097;
7778000;51.174;27.003;1.895;15.272;3.351;11.932;4.289;9.846;5.197;8.819;5.803;8.326;6.146;7.741;6.611;7.128;7.179;0.103;
8889000;59.029;31.170;1.894;17.465;3.380;13.456;4.387;11.142;5.298;10.160;5.810;9.428;6.261;9.005;6.555;8.144;7.248;0.103;
10000000;66.259;35.080;1.889;19.604;3.380;15.067;4.398;12.891;5.140;11.217;5.907;10.697;6.194;9.963;6.651;9.153;7.239;0.104;
