test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.015;0.016;0.937;0.000;inf;0.000;inf;0.014;1.071;0.000;inf;0.000;inf;0.000;inf;0.000;inf;0.087;
1112000;7.921;4.145;1.911;2.342;3.382;1.754;4.516;1.428;5.547;1.219;6.498;1.148;6.900;1.083;7.314;0.972;8.149;0.103;
2223000;15.267;8.046;1.897;4.498;3.394;3.464;4.407;2.798;5.456;2.482;6.151;2.311;6.606;2.207;6.918;1.994;7.656;0.103;
3334000;22.813;12.018;1.898;6.734;3.388;5.155;4.425;4.253;5.364;3.761;6.066;3.542;6.441;3.310;6.892;2.996;7.614;0.103;
4445000;30.198;15.991;1.888;8.903;3.392;6.912;4.369;5.874;5.141;5.136;5.880;4.769;6.332;4.455;6.778;4.011;7.529;0.103;
5556000;37.604;19.638;1.915;11.693;3.216;8.729;4.308;7.172;5.243;6.451;5.829;6.045;6.221;5.607;6.707;5.125;7.337;0.103;
6667000;45.371;23.863;1.901;13.400;3.386;10.263;4.421;8.646;5.248;7.800;5.817;7.266;6.244;6.659;6.813;6.094;7.445;0.103;
7778000;53.029;27.825;1.906;15.854;3.345;12.222;4.339;10.312;5.142;9.005;5.889;8.396;6.316;7.935;6.683;7.263;7.301;0.103;
8889000;60.520;31.806;1.903;18.191;3.327;13.950;4.338;11.664;5.189;10.397;5.821;9.877;6.127;9.173;6.598;8.378;7.224;0.103;
10000000;67.851;36.211;1.874;20.384;3.329;15.839;4.284;13.530;5.015;12.676;5.353;10.900;6.225;10.357;6.551;9.462;7.171;0.103;
