test,time_seq,fpr,time_par2,speedup2,time_par4,speedup4,time_par6,speedup6
10000,0.020938634872436523,0.014,0.9926893711090088,0.021092836774352062,0.7081077098846436,0.029569844502678265,0.024532556533813477,0.8535039894263196
1120000,3.0007448196411133,0.008,2.8176774978637695,1.0649709989578782,1.8074300289154053,1.660227379004977,1.42281174659729,2.1090244909894174
2230000,5.864649295806885,0.012,4.9905431270599365,1.1751525127610525,3.0350022315979004,1.932337721122268,2.161085844039917,2.713751196872196
3340000,8.78724980354309,0.007,7.288600921630859,1.205615439509741,3.8290393352508545,2.2948967179955613,3.1012160778045654,2.8334851822914002
4450000,11.690369844436646,0.012,8.9870126247406,1.3008071016005804,4.934762954711914,2.36898305992068,3.9203736782073975,2.981952947348147
5560000,14.610514879226685,0.011,11.649624824523926,1.2541618377674886,6.271564722061157,2.3296442796535346,4.4452362060546875,3.286780319868325
6670000,17.501760721206665,0.007,13.342435121536255,1.3117366179249221,7.510481357574463,2.3303114524817783,5.566167116165161,3.1443110413229185
7780000,20.55774760246277,0.012,15.463697910308838,1.3294198917813826,8.740763902664185,2.351939467921879,6.447839975357056,3.1883154174161032
8890000,23.610797882080078,0.006,17.85670518875122,1.3222370886737622,10.269575834274292,2.299101565936151,7.621281147003174,3.098009038987398
10000000,26.476428508758545,0.01,19.967345714569092,1.3259863823282294,11.077945470809937,2.390012532425183,8.723199367523193,3.035174067823247
