Test,TSeq,FPR,TPar2,SpeedUp2,TPar4,SpeedUp4,TPar6,SpeedUp6,TPar8,SpeedUp8,TPar10,SpeedUp10,TPar12,SpeedUp12,TPar14,SpeedUp14,TPar16,SpeedUp16
10000,0.011,0.053,0.564,0.02,0.596,0.019,0.647,0.018,0.018,0.634,1.177,0.01,0.02,0.581,0.022,0.512,0.021,0.533
1120000,1.653,0.054,2.296,0.72,1.603,1.031,1.416,1.167,0.977,1.693,1.49,1.109,0.817,2.024,0.806,2.052,0.735,2.248
2230000,3.299,0.054,3.474,0.95,2.185,1.509,2.091,1.577,1.702,1.938,2.078,1.588,1.523,2.165,1.479,2.231,1.489,2.215
3340000,4.947,0.058,4.983,0.993,3.256,1.519,3.15,1.571,2.4,2.061,3.002,1.648,2.172,2.277,2.108,2.346,1.999,2.474
4450000,6.611,0.035,6.366,1.039,3.769,1.754,3.556,1.859,3.269,2.022,3.285,2.013,2.671,2.475,2.676,2.47,2.767,2.389
5560000,8.53,0.051,8.06,1.058,4.617,1.848,4.27,1.998,3.636,2.346,3.964,2.152,3.181,2.681,3.127,2.728,3.174,2.687
6670000,10.08,0.051,9.377,1.075,5.646,1.785,5.167,1.951,4.319,2.334,4.504,2.238,3.923,2.569,3.799,2.653,3.688,2.733
7780000,11.626,0.045,10.568,1.1,6.476,1.795,5.866,1.982,5.124,2.269,5.284,2.2,4.687,2.48,4.408,2.638,4.272,2.721
8890000,13.35,0.06,11.927,1.119,7.496,1.781,6.982,1.912,5.938,2.248,5.89,2.267,5.339,2.5,5.005,2.667,4.887,2.732
10000000,14.743,0.038,13.696,1.076,8.232,1.791,7.445,1.98,6.699,2.201,6.623,2.226,5.971,2.469,5.708,2.583,5.5,2.681
