Test,TSeq,FPR,TPar16,SpeedUp16,TPar32,SpeedUp32,TPar64,SpeedUp64,TPar128,SpeedUp128,TPar256,SpeedUp256,TPar512,SpeedUp512,TPar1024,SpeedUp1024,TPar2048,SpeedUp2048
10000,0.013,0.053,0.013,1.001,0.02,0.665,0.026,0.497,0.047,0.274,0.051,0.256,0.079,0.165,0.093,0.14,0.098,0.132
1120000,1.745,0.054,0.968,1.803,0.773,2.257,0.708,2.466,0.782,2.233,0.627,2.784,0.781,2.235,0.805,2.168,0.837,2.085
2230000,3.445,0.054,1.265,2.724,1.201,2.869,1.219,2.827,1.289,2.672,1.47,2.344,1.418,2.43,1.593,2.162,1.559,2.211
3340000,5.14,0.058,1.781,2.885,1.727,2.977,1.74,2.954,1.846,2.784,2.013,2.553,2.273,2.262,2.274,2.26,2.528,2.033
4450000,6.988,0.035,2.339,2.988,2.343,2.982,2.306,3.03,2.414,2.895,2.563,2.726,3.057,2.286,2.908,2.403,2.914,2.398
5560000,8.338,0.051,3.111,2.68,2.966,2.811,2.928,2.848,3.175,2.626,3.176,2.625,3.61,2.31,4.153,2.007,3.992,2.089
6670000,10.164,0.051,3.647,2.787,3.568,2.849,3.441,2.954,3.537,2.874,3.991,2.547,4.263,2.384,5.439,1.869,4.56,2.229
7780000,11.618,0.045,4.178,2.781,4.069,2.855,3.942,2.948,4.171,2.785,4.342,2.676,4.914,2.364,6.0,1.936,5.316,2.185
8890000,13.389,0.06,4.769,2.807,4.59,2.917,4.526,2.958,4.704,2.846,5.247,2.552,5.554,2.411,6.651,2.013,6.423,2.085
10000000,14.915,0.038,5.43,2.747,5.235,2.849,6.712,2.222,7.154,2.085,7.684,1.941,8.028,1.858,9.502,1.57,10.91,1.367
