Test,TSeq,FPR,TPar16,SpeedUp16,TPar32,SpeedUp32,TPar64,SpeedUp64,TPar128,SpeedUp128,TPar256,SpeedUp256,TPar512,SpeedUp512,TPar1024,SpeedUp1024,TPar2048,SpeedUp2048
10000,0.010968446731567383,0.096,0.011,1.004,0.016,0.68,0.025,0.43,0.041,0.265,0.052,0.211,0.074,0.148,0.1,0.11,0.101,0.109
1120000,1.4182627201080322,0.107,0.877,1.618,0.732,1.937,0.674,2.104,0.758,1.872,0.617,2.297,0.733,1.934,0.841,1.687,0.809,1.753
2230000,2.9539639949798584,0.095,1.145,2.58,1.092,2.704,1.126,2.623,1.199,2.463,1.368,2.16,1.278,2.312,1.474,2.004,1.574,1.876
3340000,4.421331405639648,0.105,1.735,2.549,1.832,2.413,1.897,2.33,1.794,2.465,1.872,2.362,2.254,1.961,2.133,2.073,2.344,1.886
4450000,5.619083642959595,0.083,2.15,2.614,2.242,2.506,2.168,2.592,2.128,2.64,2.311,2.431,2.672,2.103,2.791,2.014,3.053,1.841
5560000,7.025694847106934,0.126,2.693,2.609,2.575,2.729,2.746,2.558,2.693,2.609,2.835,2.478,3.416,2.057,4.087,1.719,3.765,1.866
6670000,8.276925086975098,0.129,3.281,2.523,3.074,2.692,2.984,2.773,3.175,2.607,3.369,2.457,4.476,1.849,4.336,1.909,4.679,1.769
7780000,9.748562812805176,0.092,3.747,2.602,3.638,2.679,3.555,2.742,3.703,2.633,3.842,2.537,4.302,2.266,5.245,1.859,5.05,1.93
8890000,10.823997974395752,0.105,4.368,2.478,4.085,2.65,4.038,2.681,4.183,2.588,4.371,2.476,4.892,2.212,5.918,1.829,5.569,1.944
10000000,12.397707462310791,0.124,5.193,2.387,4.807,2.579,4.718,2.628,4.731,2.621,4.888,2.536,5.449,2.275,6.823,1.817,8.055,1.539
