test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.014;0.007;2.000;0.003;4.667;0.003;4.667;0.002;7.000;0.002;7.000;0.001;14.001;0.002;7.000;0.002;7.000;0.052;
1112000;10.883;5.115;2.128;2.627;4.143;2.080;5.232;1.679;6.482;1.493;7.289;1.383;7.869;1.289;8.443;1.201;9.062;0.050;
2223000;20.862;10.068;2.072;5.214;4.001;4.018;5.192;3.423;6.095;3.008;6.936;2.764;7.548;2.584;8.074;2.381;8.762;0.051;
3334000;31.129;15.128;2.058;7.671;4.058;5.979;5.206;5.074;6.135;4.564;6.821;4.250;7.324;3.973;7.835;3.710;8.391;0.051;
4445000;42.487;20.188;2.105;10.481;4.054;7.927;5.360;6.803;6.245;6.019;7.059;5.585;7.607;5.260;8.077;4.886;8.696;0.054;
5556000;52.401;25.169;2.082;12.850;4.078;9.854;5.318;8.345;6.279;7.521;6.967;6.987;7.500;6.559;7.989;6.210;8.438;0.050;
6667000;63.223;30.315;2.086;15.415;4.101;11.945;5.293;10.021;6.309;9.090;6.955;8.363;7.560;7.958;7.945;7.563;8.360;0.048;
7778000;71.744;35.190;2.039;18.052;3.974;13.911;5.157;11.779;6.091;10.470;6.852;9.692;7.402;9.401;7.632;8.928;8.036;0.055;
8889000;82.446;40.382;2.042;20.460;4.030;15.660;5.265;13.322;6.189;12.177;6.771;11.162;7.386;10.822;7.618;10.261;8.035;0.054;
10000000;93.216;45.378;2.054;23.410;3.982;17.841;5.225;15.016;6.208;13.843;6.734;12.580;7.410;12.247;7.611;11.548;8.072;0.052;
