test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;tPar2Type2;speedUp2Type2;tPar4Type2;speedUp4Type2;tPar6Type2;speedUp6Type2;tPar8Type2;speedUp8Type2;tPar10Type2;speedUp10Type2;tPar12Type2;speedUp12Type2;tPar14Type2;speedUp14Type2;tPar16Type2;speedUp16Type2;fpr;
1000;0.009;0.005;1.800;0.003;3.000;0.004;2.250;0.003;3.000;0.003;3.000;0.003;3.000;0.003;3.000;0.003;3.000;0.004;2.250;0.005;1.800;0.003;3.000;0.003;3.000;0.003;3.000;0.003;3.000;0.004;2.250;0.003;3.000;0.059;
1112000;10.226;4.955;2.064;2.510;4.074;1.932;5.293;1.559;6.559;1.312;7.794;1.218;8.396;1.091;9.373;0.912;11.213;4.953;2.065;2.507;4.079;1.973;5.183;1.546;6.614;1.324;7.724;1.152;8.877;1.099;9.305;0.922;11.091;0.050;
2223000;20.921;9.882;2.117;5.031;4.158;3.807;5.495;3.010;6.950;2.617;7.994;2.388;8.761;2.275;9.196;1.882;11.116;9.809;2.133;5.003;4.182;3.833;5.458;3.067;6.821;2.571;8.137;2.376;8.805;2.104;9.943;1.924;10.874;0.050;
3334000;31.910;14.908;2.140;7.485;4.263;5.706;5.592;4.951;6.445;4.187;7.621;3.616;8.825;3.446;9.260;2.832;11.268;14.902;2.141;7.499;4.255;5.794;5.507;4.672;6.830;3.946;8.087;3.638;8.771;3.247;9.828;2.973;10.733;0.050;
4445000;42.508;19.804;2.146;9.895;4.296;7.621;5.578;6.037;7.041;5.308;8.008;4.760;8.930;4.381;9.703;4.009;10.603;19.817;2.145;9.890;4.298;7.842;5.421;6.146;6.916;5.217;8.148;4.710;9.025;4.385;9.694;3.978;10.686;0.051;
5556000;53.916;24.737;2.180;12.382;4.354;9.521;5.663;7.744;6.962;6.444;8.367;5.920;9.107;5.488;9.824;5.004;10.775;24.791;2.175;12.416;4.342;9.542;5.650;7.647;7.051;6.459;8.347;6.048;8.915;5.534;9.743;4.980;10.827;0.051;
6667000;63.514;29.655;2.142;14.997;4.235;11.598;5.476;9.142;6.947;7.912;8.028;7.554;8.408;6.811;9.325;5.985;10.612;29.663;2.141;14.955;4.247;11.383;5.580;9.336;6.803;8.004;7.935;7.100;8.946;6.460;9.832;6.036;10.523;0.051;
7778000;75.618;34.626;2.184;17.456;4.332;13.196;5.730;10.715;7.057;9.086;8.322;8.367;9.038;7.846;9.638;7.140;10.591;34.650;2.182;17.412;4.343;13.318;5.678;10.701;7.066;9.480;7.977;8.316;9.093;7.915;9.554;7.155;10.569;0.051;
8889000;85.792;39.560;2.169;19.753;4.343;15.179;5.652;12.521;6.852;10.751;7.980;9.509;9.022;8.820;9.727;8.081;10.617;39.665;2.163;19.823;4.328;14.896;5.759;12.680;6.766;10.326;8.308;9.576;8.959;8.960;9.575;8.240;10.412;0.051;
10000000;92.345;44.515;2.074;22.287;4.143;17.148;5.385;13.706;6.738;11.631;7.940;10.644;8.676;10.189;9.063;9.212;10.024;44.694;2.066;22.299;4.141;16.799;5.497;13.835;6.675;12.099;7.632;10.718;8.616;9.797;9.426;9.430;9.793;0.051;
