test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;tPar2Type2;speedUp2Type2;tPar4Type2;speedUp4Type2;tPar6Type2;speedUp6Type2;tPar8Type2;speedUp8Type2;tPar10Type2;speedUp10Type2;tPar12Type2;speedUp12Type2;tPar14Type2;speedUp14Type2;tPar16Type2;speedUp16Type2;fpr;
1000;0.011;0.008;1.375;0.004;2.750;0.003;3.667;0.004;2.750;0.004;2.750;0.005;2.200;0.003;3.667;0.004;2.750;0.006;1.833;0.004;2.750;0.003;3.667;0.003;3.667;0.003;3.667;0.002;5.500;0.005;2.200;0.003;3.667;0.103;
1112000;9.994;4.961;2.015;2.484;4.023;1.998;5.002;1.568;6.374;1.338;7.469;1.169;8.549;1.123;8.899;0.905;11.043;4.970;2.011;2.482;4.027;1.980;5.047;1.569;6.370;1.431;6.984;1.261;7.925;1.012;9.875;0.920;10.863;0.101;
2223000;19.966;9.853;2.026;4.969;4.018;3.944;5.062;3.235;6.172;2.599;7.682;2.398;8.326;2.129;9.378;1.880;10.620;9.872;2.022;4.962;4.024;3.810;5.240;3.049;6.548;2.583;7.730;2.254;8.858;2.162;9.235;1.971;10.130;0.101;
3334000;30.113;14.840;2.029;7.493;4.019;5.677;5.304;4.612;6.529;3.916;7.690;3.655;8.239;3.637;8.280;2.961;10.170;14.822;2.032;7.440;4.047;5.754;5.233;4.562;6.601;3.932;7.658;3.810;7.904;3.305;9.111;2.930;10.277;0.101;
4445000;40.229;19.758;2.036;9.936;4.049;7.528;5.344;6.086;6.610;5.135;7.834;4.612;8.723;4.332;9.286;4.026;9.992;19.777;2.034;9.976;4.033;7.570;5.314;6.197;6.492;5.052;7.963;4.784;8.409;4.338;9.274;4.064;9.899;0.101;
5556000;50.053;24.681;2.028;12.458;4.018;9.657;5.183;7.765;6.446;6.655;7.521;5.880;8.512;5.431;9.216;5.055;9.902;24.675;2.028;12.459;4.017;9.741;5.138;7.525;6.652;6.491;7.711;6.041;8.286;5.393;9.281;5.134;9.749;0.101;
6667000;59.736;29.680;2.013;14.914;4.005;11.312;5.281;9.388;6.363;7.974;7.491;6.999;8.535;6.547;9.124;6.107;9.782;29.634;2.016;14.951;3.995;11.419;5.231;9.186;6.503;7.744;7.714;7.061;8.460;6.556;9.112;6.175;9.674;0.101;
7778000;69.896;34.598;2.020;17.608;3.970;13.462;5.192;10.623;6.580;9.300;7.516;8.287;8.434;7.512;9.305;7.224;9.676;34.544;2.023;17.384;4.021;13.314;5.250;10.518;6.645;9.124;7.661;8.299;8.422;7.604;9.192;7.067;9.890;0.101;
8889000;80.223;39.750;2.018;19.893;4.033;14.988;5.352;12.455;6.441;10.452;7.675;9.694;8.276;8.737;9.182;8.255;9.718;39.448;2.034;19.894;4.033;15.401;5.209;12.383;6.478;10.570;7.590;9.658;8.306;9.007;8.907;8.401;9.549;0.101;
10000000;89.779;44.457;2.019;22.322;4.022;16.885;5.317;13.785;6.513;11.991;7.487;10.942;8.205;9.875;9.092;9.360;9.592;44.520;2.017;22.521;3.986;17.254;5.203;13.678;6.564;11.894;7.548;10.689;8.399;9.968;9.007;9.404;9.547;0.101;
