test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.009;0.006;1.500;0.004;2.250;0.004;2.250;0.003;3.000;0.003;3.000;0.004;2.250;0.003;3.000;0.003;3.000;0.103;
1112000;10.852;5.081;2.136;2.569;4.224;1.926;5.634;1.574;6.895;1.383;7.847;1.212;8.954;1.112;9.759;1.016;10.681;0.102;
2223000;21.279;10.102;2.106;5.074;4.194;3.869;5.500;3.159;6.736;2.750;7.738;2.496;8.525;2.276;9.349;1.997;10.655;0.099;
3334000;31.458;15.130;2.079;7.684;4.094;5.815;5.410;4.775;6.588;4.149;7.582;3.712;8.475;3.414;9.214;3.106;10.128;0.103;
4445000;40.910;20.264;2.019;10.153;4.029;7.737;5.288;6.342;6.451;5.508;7.427;4.864;8.411;4.531;9.029;4.285;9.547;0.102;
5556000;53.757;25.281;2.126;12.783;4.205;9.575;5.614;7.879;6.823;6.852;7.845;6.106;8.804;5.834;9.214;5.432;9.896;0.095;
6667000;61.592;30.367;2.028;15.244;4.040;11.436;5.386;9.295;6.626;8.295;7.425;7.451;8.266;7.064;8.719;6.610;9.318;0.097;
7778000;73.984;35.302;2.096;17.868;4.141;13.473;5.491;10.966;6.747;9.776;7.568;8.734;8.471;8.382;8.827;7.873;9.397;0.103;
8889000;84.238;40.353;2.088;20.406;4.128;15.477;5.443;12.886;6.537;11.170;7.541;10.410;8.092;9.900;8.509;9.366;8.994;0.103;
10000000;98.600;45.422;2.171;23.070;4.274;17.214;5.728;14.175;6.956;12.400;7.952;11.449;8.612;10.701;9.214;10.047;9.814;0.104;
